SiteID.Flow,SiteId.Eco,SiteId.QW,Date,Depth.M,Q.M3.S,BaseFlow.Frac,TSITE_NO,SHORT_NAME,region
40852508,40852508,40852508,20130506,0.336897452,NA,NA,T040852508,WI_Tisch,MSQA
40852508,40852508,40852508,20130513,0.416034231,NA,NA,T040852508,WI_Tisch,MSQA
40852508,40852508,40852508,20130522,0.273495188,NA,NA,T040852508,WI_Tisch,MSQA
40852508,40852508,40852508,20130603,0.210502071,NA,NA,T040852508,WI_Tisch,MSQA
40852508,40852508,40852508,20130612,0.197886554,NA,NA,T040852508,WI_Tisch,MSQA
40852508,40852508,40852508,20130617,0.24191197,NA,NA,T040852508,WI_Tisch,MSQA
40852508,40852508,40852508,20130626,0.188313414,NA,NA,T040852508,WI_Tisch,MSQA
40852508,40852508,40852508,20130708,0.24798336,NA,NA,T040852508,WI_Tisch,MSQA
40852508,40852508,40852508,20130715,0.13096576,NA,NA,T040852508,WI_Tisch,MSQA
40852508,40852508,40852508,20130723,0.118234122,NA,NA,T040852508,WI_Tisch,MSQA
40852508,40852508,40852508,20130729,0.13413845,NA,NA,T040852508,WI_Tisch,MSQA
40852508,40852508,40852508,20130807,0.13413845,NA,NA,T040852508,WI_Tisch,MSQA
40857005,40857005,40857005,20130507,0.217260312,0.223732654,0.427727313,T040857005,WI_Otter,MSQA
40857005,40857005,40857005,20130514,0.228830419,0.261965449,0.401410944,T040857005,WI_Otter,MSQA
40857005,40857005,40857005,20130522,0.203567374,0.288870008,0.398227062,T040857005,WI_Otter,MSQA
40857005,40857005,40857005,20130604,0.191646588,0.152647975,0.835579542,T040857005,WI_Otter,MSQA
40857005,40857005,40857005,20130612,0.18763213,0.140753328,0.914366223,T040857005,WI_Otter,MSQA
40857005,40857005,40857005,20130618,0.195640174,0.150382328,0.859679202,T040857005,WI_Otter,MSQA
40857005,40857005,40857005,20130626,0.183596099,NA,NA,T040857005,WI_Otter,MSQA
40857005,40857005,40857005,20130709,0.1775,0.120928915,0.827687125,T040857005,WI_Otter,MSQA
40857005,40857005,40857005,20130715,0.169289266,NA,NA,T040857005,WI_Otter,MSQA
40857005,40857005,40857005,20130723,0.171351106,0.081280091,1,T040857005,WI_Otter,MSQA
40857005,40857005,40857005,20130729,0.1775,0.099971679,0.78563237,T040857005,WI_Otter,MSQA
40857005,40857005,40857005,20130807,0.217260312,0.162276975,0.506220178,T040857005,WI_Otter,MSQA
40869416,40869416,40869416,20130506,0.197675955,0.246672331,0.365268685,T040869416,WI_Lincoln,MSQA
40869416,40869416,40869416,20130513,0.18658163,0.216652506,0.406227351,T040869416,WI_Lincoln,MSQA
40869416,40869416,40869416,20130520,0.155772322,0.12404418,0.623528754,T040869416,WI_Lincoln,MSQA
40869416,40869416,40869416,20130603,0.164219242,0.152364769,0.645878335,T040869416,WI_Lincoln,MSQA
40869416,40869416,40869416,20130610,0.144456846,0.104219768,0.755258025,T040869416,WI_Lincoln,MSQA
40869416,40869416,40869416,20130617,0.203201833,0.331350892,0.293627557,T040869416,WI_Lincoln,MSQA
40869416,40869416,40869416,20130624,0.172632636,0.162276975,0.578599922,T040869416,WI_Lincoln,MSQA
40869416,40869416,40869416,20130708,0.141618417,0.586236194,0.157781773,T040869416,WI_Lincoln,MSQA
40869416,40869416,40869416,20130715,0.130225955,0.090909091,0.881303639,T040869416,WI_Lincoln,MSQA
40869416,40869416,40869416,20130722,0.189360571,0.225431889,0.329321379,T040869416,WI_Lincoln,MSQA
40869416,40869416,40869416,20130729,0.110137306,0.061172472,1,T040869416,WI_Lincoln,MSQA
40869416,40869416,40869416,20130805,0.107251441,0.047861796,1,T040869416,WI_Lincoln,MSQA
4087119,4087119,4087119,20130506,0.18540609,0.229679977,0.425799913,T04087119,WI_HoneyWau,MSQA
4087119,4087119,4087119,20130513,0.192843086,0.267912773,0.351935158,T04087119,WI_HoneyWau,MSQA
4087119,4087119,4087119,20130520,0.177916677,0.198810535,0.389741322,T04087119,WI_HoneyWau,MSQA
4087119,4087119,4087119,20130603,0.238813014,0.094307562,1,T04087119,WI_HoneyWau,MSQA
4087119,4087119,4087119,20130610,0.22689582,0.071367884,0.765119812,T04087119,WI_HoneyWau,MSQA
4087119,4087119,4087119,20130617,0.219685706,0.560747664,0.23489786,T04087119,WI_HoneyWau,MSQA
4087119,4087119,4087119,20130624,0.180419061,0.190597564,0.599271478,T04087119,WI_HoneyWau,MSQA
4087119,4087119,4087119,20130708,0.129167972,0.506938544,0.185001014,T04087119,WI_HoneyWau,MSQA
4087119,4087119,4087119,20130715,0.121246083,0.048428207,1,T04087119,WI_HoneyWau,MSQA
4087119,4087119,4087119,20130722,NA,NA,NA,T04087119,WI_HoneyWau,MSQA
4087119,4087119,4087119,20130729,0.118590806,0.047012178,0.885939791,T04087119,WI_HoneyWau,MSQA
4087119,4087119,4087119,20130805,NA,NA,NA,T04087119,WI_HoneyWau,MSQA
5299770,5299770,5299770,20130506,0.67821348,NA,NA,T05299770,MN_Florida,MSQA
5299770,5299770,5299770,20130513,0.550573274,NA,NA,T05299770,MN_Florida,MSQA
5299770,5299770,5299770,20130520,0.484853377,NA,NA,T05299770,MN_Florida,MSQA
5299770,5299770,5299770,20130603,0.699966609,NA,NA,T05299770,MN_Florida,MSQA
5299770,5299770,5299770,20130610,0.852977913,NA,NA,T05299770,MN_Florida,MSQA
5299770,5299770,5299770,20130617,0.83102654,NA,NA,T05299770,MN_Florida,MSQA
5299770,5299770,5299770,20130624,1.150464866,NA,NA,T05299770,MN_Florida,MSQA
5299770,5299770,5299770,20130708,0.559721331,NA,NA,T05299770,MN_Florida,MSQA
5299770,5299770,5299770,20130715,0.595986952,NA,NA,T05299770,MN_Florida,MSQA
5299770,5299770,5299770,20130722,0.370880433,NA,NA,T05299770,MN_Florida,MSQA
5299770,5299770,5299770,20130729,0.306415051,NA,NA,T05299770,MN_Florida,MSQA
5299770,5299770,5299770,20130805,NA,NA,NA,T05299770,MN_Florida,MSQA
5315295,5315295,5315295,20130506,0.344622756,NA,NA,T05315295,MN_Threemile,MSQA
5315295,5315295,5315295,20130513,0.321888274,NA,NA,T05315295,MN_Threemile,MSQA
5315295,5315295,5315295,20130520,0.306750354,NA,NA,T05315295,MN_Threemile,MSQA
5315295,5315295,5315295,20130603,0.259030901,NA,NA,T05315295,MN_Threemile,MSQA
5315295,5315295,5315295,20130610,0.72627373,NA,NA,T05315295,MN_Threemile,MSQA
5315295,5315295,5315295,20130617,0.364885527,NA,NA,T05315295,MN_Threemile,MSQA
5315295,5315295,5315295,20130624,1.160665124,NA,NA,T05315295,MN_Threemile,MSQA
5315295,5315295,5315295,20130708,0.300661247,NA,NA,T05315295,MN_Threemile,MSQA
5315295,5315295,5315295,20130715,0.358236455,NA,NA,T05315295,MN_Threemile,MSQA
