Study region	USGS station number	USGS station name	Short name	Chemical name	NWIS parameter code	CASRN	Pesticide degradate	Parent	Sample date (YYYYMMDD)	Result (ug/L)	Remark
MSQA	T03353200	EAGLE CREEK AT ZIONSVILLE, IN	IN_Eagle	Hydroxymetolachlor	68622	131068-72-9	Degradate	Metolachlor	20130709	26.1151	DET
MSQA	T435420096290500	PIPESTONE CREEK NR SD/MN STATE LINE	SD_Pipestone	Hydroxymetolachlor	68622	131068-72-9	Degradate	Metolachlor	20130709	3.166	DET
MSQA	T05320410	MAPLE RIVER AT HWY 30 NEAR MAPLETON, MN	MN_Maple	Hydroxymetolachlor	68622	131068-72-9	Degradate	Metolachlor	20130709	23.548	DET
MSQA	T410150083125701	Sandusky River at CR6 near McClutchenville, OH	OH_Sandusky	Hydroxymetolachlor	68622	131068-72-9	Degradate	Metolachlor	20130710	162.5145	DET
MSQA	T411146082244001	Vermilion River at SR18 near Clarksfield, OH	OH_Vermilion	Hydroxymetolachlor	68622	131068-72-9	Degradate	Metolachlor	20130709	39.5145	DET
MSQA	T410133082465301	Unnamed Trib to Honey Creek near Willard, OH	OH_Honey	Hydroxymetolachlor	68622	131068-72-9	Degradate	Metolachlor	20130709	48.6488	DET
MSQA	T394306095484300	MUDDY C AT 145TH ST NR WETMORE, KS	KS_Muddy	Hydroxymetolachlor	68622	131068-72-9	Degradate	Metolachlor	20130709	25.7904	DET
MSQA	T404917088222701	NORTH FORK VERMILION RIVER NEAR WING	IL_NVermilion	Hydroxymetolachlor	68622	131068-72-9	Degradate	Metolachlor	20130710	4.7366	DET
MSQA	T384224087353601	ALLISON DITCH NEAR VINCENNES, IN	IL_Allison	Hydroxymetolachlor	68622	131068-72-9	Degradate	Metolachlor	20130710	1.7613	DET
MSQA	T384240087103901	PRAIRIE CR AT CO RD N100W NR CAPEHART, IN	IN_Prairie	Hydroxymetolachlor	68622	131068-72-9	Degradate	Metolachlor	20130710	69.9565	DET
MSQA	T06893350	TOMAHAWK C NR OVERLAND PARK, KS	KS_Tomahawk	Hydroxymetolachlor	68622	131068-72-9	Degradate	Metolachlor	20130710	2.0613	DET
MSQA	T391136090341101	COLE CREEK NEAR HARDIN, IL	IL_Cole	Hydroxymetolachlor	68622	131068-72-9	Degradate	Metolachlor	20130710	15.5644	DET
MSQA	T05554300	INDIAN CREEK NEAR FAIRBURY, IL	IL_Indian	Hydroxymetolachlor	68622	131068-72-9	Degradate	Metolachlor	20130710	6.8009	DET
MSQA	T383158092192001	North Moreau Creek nr Jefferson City, MO	MO_Moreau	Hydroxymetolachlor	68622	131068-72-9	Degradate	Metolachlor	20130710	9.5889	DET
MSQA	T391110087194401	W FK BUSSERON CR AT ST RT 48 NR WILFRED IN	IN_Busseron	Hydroxymetolachlor	68622	131068-72-9	Degradate	Metolachlor	20130711	5.7334	DET
MSQA	T06808495	Unnamed Trib to W Nishnabotna Riv nr Randolph, IA	IA_Nishnabotna	Hydroxymetolachlor	68622	131068-72-9	Degradate	Metolachlor	20130708	5.7644	DET
MSQA	T420626089101201	STILLMAN CREEK AT STILLMAN VALLEY, IL	IL_Stillman	Hydroxymetolachlor	68622	131068-72-9	Degradate	Metolachlor	20130708	2.6466	DET
MSQA	T390227092234101	Perche Creek near Columbia, MO	MO_Perche	Hydroxymetolachlor	68622	131068-72-9	Degradate	Metolachlor	20130708	5.774	DET
MSQA	T400227095151501	Squaw Creek Ditch near Squaw Creek Wildlife Area	MO_Squaw	Hydroxymetolachlor	68622	131068-72-9	Degradate	Metolachlor	20130708	32.5736	DET
MSQA	T390200092341701	Moniteau Creek near Rocheport, MO	MO_Moniteau	Hydroxymetolachlor	68622	131068-72-9	Degradate	Metolachlor	20130708	12.4096	DET
MSQA	T05531500	SALT CREEK AT WESTERN SPRINGS, IL	IL_Salt	Hydroxymetolachlor	68622	131068-72-9	Degradate	Metolachlor	20130708	0.9752	DET
MSQA	T393358096130000	FRENCH C AT PARALLEL RD, ONAGA, KS	KS_French	Hydroxymetolachlor	68622	131068-72-9	Degradate	Metolachlor	20130709	57.512	DET
MSQA	T05592195	BECK CREEK AT HERRICK, IL	IL_Becks	Hydroxymetolachlor	68622	131068-72-9	Degradate	Metolachlor	20130709	24.2154	DET
MSQA	T412911089540101	GREEN RIVER NEAR HOOPPOLE, IL	IL_Green	Hydroxymetolachlor	68622	131068-72-9	Degradate	Metolachlor	20130709	5.5682	DET
MSQA	T391815009203901	Goodwater Creek nr Centralia, MO	MO_Goodwater	Hydroxymetolachlor	68622	131068-72-9	Degradate	Metolachlor	20130709	55.7967	DET
MSQA	T391308091550901	Skull Lick Creek nr Mexico, MO	MO_Skull	Hydroxymetolachlor	68622	131068-72-9	Degradate	Metolachlor	20130709	36.3705	DET
MSQA	T385730088324401	LITTLE WABASH RIVER NEAR MASON, IL	IL_Wabash	Hydroxymetolachlor	68622	131068-72-9	Degradate	Metolachlor	20130709	75.5615	DET
MSQA	T391443091534001	Fish Branch near Mexico, MO	MO_Fish	Hydroxymetolachlor	68622	131068-72-9	Degradate	Metolachlor	20130709	20.6165	DET
MSQA	T06804000	Wahoo Creek at Ithaca, Nebr.	NE_Wahoo	Hydroxymetolachlor	68622	131068-72-9	Degradate	Metolachlor	20130628	11.615	DET
MSQA	T05457200	CEDAR RIVER AT 100TH ST. NEAR LYLE, MN	MN_Cedar	Hydroxymetolachlor	68622	131068-72-9	Degradate	Metolachlor	20130710	6.8527	DET
MSQA	T06897937	Long Creek at 137th Street near Van Wert, IA	IA_Long	Hydroxymetolachlor	68622	131068-72-9	Degradate	Metolachlor	20130710	32.7848	DET
MSQA	T05451112	South Fork Iowa River at H Avenue near Buckeye, IA	IA_IowaH	Hydroxymetolachlor	68622	131068-72-9	Degradate	Metolachlor	20130710	11.5228	DET
MSQA	T05325148	SEVENMILE CK BLW FOOTBRIDGE IN PARK NR KASOTA, MN	MN_Sevenmile	Hydroxymetolachlor	68622	131068-72-9	Degradate	Metolachlor	20130710	5.7073	DET
MSQA	T05483341	Beaver Creek at Glendon, IA	IA_BeaverG	Hydroxymetolachlor	68622	131068-72-9	Degradate	Metolachlor	20130710	3.4731	DET
MSQA	T372629086330400	CANEY CREEK NEAR CANEYVILLE, KY	KY_Caney	Hydroxymetolachlor	68622	131068-72-9	Degradate	Metolachlor	20130710	22.531	DET
MSQA	T05471090	Unnamed Trib to East Br Indian Cr near Zearing, IA	IA_Indian	Hydroxymetolachlor	68622	131068-72-9	Degradate	Metolachlor	20130710	2.5973	DET
MSQA	T373514086371200	POND RUN AT HIGHWAY 110 NEAR FALLS OF ROUGH, KY	KY_Pond	Hydroxymetolachlor	68622	131068-72-9	Degradate	Metolachlor	20130710	0.4208	DET
MSQA	T03340900	BIG RACCOON CREEK AT FERNDALE, IN	IN_Raccoon	Hydroxymetolachlor	68622	131068-72-9	Degradate	Metolachlor	20130711	6.8899	DET
MSQA	T05487550	Walnut Creek near Vandalia, IA	IA_Walnut	Hydroxymetolachlor	68622	131068-72-9	Degradate	Metolachlor	20130711	1.3634	DET
MSQA	T05418400	North Fork Maquoketa River near Fulton, IA	IA_Maquoketa	Hydroxymetolachlor	68622	131068-72-9	Degradate	Metolachlor	20130708	5.6706	DET
MSQA	T05451210	South Fork Iowa River NE of New Providence, IA	IA_IowaProv	Hydroxymetolachlor	68622	131068-72-9	Degradate	Metolachlor	20130708	6.8178	DET
MSQA	T05458800	Maynes Creek near Hampton, IA	IA_Maynes	Hydroxymetolachlor	68622	131068-72-9	Degradate	Metolachlor	20130709	27.8668	DET
MSQA	T05482300	North Raccoon River near Sac City, IA	IA_NRaccoon	Hydroxymetolachlor	68622	131068-72-9	Degradate	Metolachlor	20130709	3.5557	DET
MSQA	T05544989	HONEY CREEK AT CT HIGHWAY DD NEAR BURLINGTON, WI	WI_HoneyDD	Hydroxymetolachlor	68622	131068-72-9	Degradate	Metolachlor	20130709	18.0899	DET
MSQA	T05481820	Beaver Creek at Bouton, IA	IA_BeaverB	Hydroxymetolachlor	68622	131068-72-9	Degradate	Metolachlor	20130709	4.4477	DET
MSQA	T05464220	Wolf Creek near Dysart, IA	IA_Wolf	Hydroxymetolachlor	68622	131068-72-9	Degradate	Metolachlor	20130710	6.2418	DET
MSQA	T06804000	Wahoo Creek at Ithaca, Nebr.	NE_Wahoo	Hydroxymetolachlor	68622	131068-72-9	Degradate	Metolachlor	20130710	6.756	DET
MSQA	T06610785	West Papillion Creek at Millard, Nebr.	NE_WPapillion	Hydroxymetolachlor	68622	131068-72-9	Degradate	Metolachlor	20130710	3.5128	DET
MSQA	T401143096134301	Turkey Creek near Steinauer, Nebr.	NE_Turkey	Hydroxymetolachlor	68622	131068-72-9	Degradate	Metolachlor	20130711	28.2118	DET
MSQA	T05455095	Old Mans Creek at Kansas Ave SW near Iowa City, IA	IA_OldMan	Hydroxymetolachlor	68622	131068-72-9	Degradate	Metolachlor	20130711	9.9445	DET
MSQA	T05299770	FLORIDA CREEK AT 171ST AVE NEAR MARIETTA, MN	MN_Florida	Hydroxymetolachlor	68622	131068-72-9	Degradate	Metolachlor	20130715	6.287	DET
MSQA	T05418180	Johns Creek near Worthington, IA	IA_Johns	Hydroxymetolachlor	68622	131068-72-9	Degradate	Metolachlor	20130708	9.3923	DET
MSQA	T05483450	Middle Raccoon River near Bayard, IA	IA_Raccoon	Hydroxymetolachlor	68622	131068-72-9	Degradate	Metolachlor	20130709	4.5357	DET
MSQA	T03271000	Wolf Creek at Dayton OH	OH_Wolf	Hydroxymetolachlor	68622	131068-72-9	Degradate	Metolachlor	20130710	8.3097	DET
MSQA	T385638091364601	Loutre River near Montgomery City, MO	MO_Loutre	Hydroxymetolachlor	68622	131068-72-9	Degradate	Metolachlor	20130710	47.3322	DET
MSQA	T400502091403401	North Fabius River nr Monticello, MO	MO_NFabius	Hydroxymetolachlor	68622	131068-72-9	Degradate	Metolachlor	20130710	89.9731	DET
MSQA	T400856089562001	HERGET DRAINAGE DITCH NEAR KILBOURNE, IL	IL_Herget	Hydroxymetolachlor	68622	131068-72-9	Degradate	Metolachlor	20130710	5.9541	DET
MSQA	T03241500	Massies Creek at Wilberforce OH	OH_Massies	Hydroxymetolachlor	68622	131068-72-9	Degradate	Metolachlor	20130710	32.1504	DET
MSQA	T400240092081201	Little Fabius River nr Fabius, MO	MO_Fabius	Hydroxymetolachlor	68622	131068-72-9	Degradate	Metolachlor	20130710	147.2138	DET
MSQA	T03259000	Mill Creek at Carthage OH	OH_Mill	Hydroxymetolachlor	68622	131068-72-9	Degradate	Metolachlor	20130711	3.1448	DET
